id,lang,title,path,main_topic_number,main_topic_dir,subtopic_number,subtopic_dir,slug,review_status,translation_status,source_count,opened_at,canonical
LAP-11-02,hu,Statische und dynamische Webseiten,11_Informatik/02_Statische_und_dynamische_Webseiten/README.md,11,11_Informatik,02,02_Statische_und_dynamische_Webseiten,11-02-statische_und_dynamische_webseiten,draft,de_complete,3,2026-04-08,True
LAP-11-03,hu,Weblog Webshop Webplattform,11_Informatik/03_Weblog_Webshop_Webplattform/README.md,11,11_Informatik,03,03_Weblog_Webshop_Webplattform,11-03-weblog_webshop_webplattform,draft,de_complete,4,2026-04-08,True
LAP-11-04,hu,HTML und XML,11_Informatik/04_HTML_und_XML/README.md,11,11_Informatik,04,04_HTML_und_XML,11-04-html_und_xml,draft,de_complete,4,2026-04-08,True
LAP-11-05,hu,HTML5 Grundgeruest,11_Informatik/05_HTML5_Grundgeruest/README.md,11,11_Informatik,05,05_HTML5_Grundgeruest,11-05-html5_grundgeruest,draft,de_complete,4,2026-04-08,True
LAP-11-06,hu,Meta Elemente und Metadaten,11_Informatik/06_Meta_Elemente_und_Metadaten/README.md,11,11_Informatik,06,06_Meta_Elemente_und_Metadaten,11-06-meta_elemente_und_metadaten,draft,de_complete,3,2026-04-08,True
LAP-11-07,hu,SEO und Massnahmen,11_Informatik/07_SEO_und_Massnahmen/README.md,11,11_Informatik,07,07_SEO_und_Massnahmen,11-07-seo_und_massnahmen,draft,de_complete,3,2026-04-08,True
LAP-11-08,hu,CSS und Einsatz,11_Informatik/08_CSS_und_Einsatz/README.md,11,11_Informatik,08,08_CSS_und_Einsatz,11-08-css_und_einsatz,draft,de_complete,3,2026-04-08,True
LAP-11-09,hu,Client und Server Scripting,11_Informatik/09_Client_und_Server_Scripting/README.md,11,11_Informatik,09,09_Client_und_Server_Scripting,11-09-client_und_server_scripting,draft,de_complete,3,2026-04-08,True
LAP-11-10,hu,Tools fuer Webentwicklung,11_Informatik/10_Tools_fuer_Webentwicklung/README.md,11,11_Informatik,10,10_Tools_fuer_Webentwicklung,11-10-tools_fuer_webentwicklung,draft,de_complete,4,2026-04-08,True
LAP-11-11,hu,CMS,11_Informatik/11_CMS/README.md,11,11_Informatik,11,11_CMS,11-11-cms,draft,de_complete,3,2026-04-08,True
